ghg,GWP,Units,group
CO2,3.666667,MTC,CO2
CO2_4W,3.666667,MTC,CO2
CO2_building,3.666667,MTC,CO2
CO2_ETS,3.666667,MTC,CO2
CO2_industry,3.666667,MTC,CO2
LUC CO2,3.666667,MTC,LUC CO2
CH4,28,Tg,CH4
CH4_AGR,28,Tg,CH4
CH4_AWB,28,Tg,CH4
N2O,265,Tg,N2O
N2O_AGR,265,Tg,N2O
N2O_AWB,265,Tg,N2O
C2F6,11.1,Gg,F-Gas
CF4,6.63,Gg,F-Gas
HFC125,3.17,Gg,F-Gas
HFC134a,1.3,Gg,F-Gas
HFC245fa,0.858,Gg,F-Gas
SF6,23.5,Gg,F-Gas
HFC143a,4.8,Gg,F-Gas
HFC152a,0.138,Gg,F-Gas
HFC227ea,3.35,Gg,F-Gas
HFC23,12.4,Gg,F-Gas
HFC236fa,8.06,Gg,F-Gas
HFC32,0.677,Gg,F-Gas
HFC365mfc,0.804,Gg,F-Gas
C2F6,11.1,Tg,F-Gas
CF4,6.63,Tg,F-Gas
HFC125,3.17,Tg,F-Gas
HFC134a,1.3,Tg,F-Gas
HFC245fa,0.858,Tg,F-Gas
SF6,23.5,Tg,F-Gas
HFC143a,4.8,Tg,F-Gas
HFC152a,0.138,Tg,F-Gas
HFC227ea,3.35,Tg,F-Gas
HFC23,12.4,Tg,F-Gas
HFC236fa,8.06,Tg,F-Gas
HFC32,0.677,Tg,F-Gas
HFC365mfc,0.804,Tg,F-Gas
HFC43,1.65,Gg,F-Gas
HFC43,1.65,Tg,F-Gas
